"","X","moda","durNo","cond","curDur","RP","NSub","NT","valid"
"1",1,1,13,1,1,1,1,1,0
"2",2,1,7,1,1.3,1,1,2,0
"3",3,1,25,1,0.4,0,1,3,0
"4",4,1,40,1,1.45,1,1,4,0
"5",5,1,10,1,0.55,0,1,5,0
"6",6,1,1,1,0.4,0,1,6,0
"7",7,1,14,1,1.15,1,1,7,0
"8",8,1,45,1,1,1,1,8,0
"9",9,1,9,1,0.4,0,1,9,0
"10",10,1,21,1,1,1,1,10,0
"11",11,1,29,1,1,1,1,11,0
"12",12,1,20,1,0.85,1,1,12,0
"13",13,1,46,1,1.15,1,1,13,0
"14",14,1,47,1,1.3,1,1,14,0
"15",15,1,71,1,1.3,1,1,15,0
"16",16,1,58,1,0.55,0,1,16,0
"17",17,1,28,1,0.85,0,1,17,0
"18",18,1,31,1,1.3,1,1,18,0
"19",19,1,22,1,1.15,1,1,19,0
"20",20,1,30,1,1.15,1,1,20,0
"21",21,1,8,1,1.45,1,1,21,0
"22",22,1,71,1,1.3,1,1,22,0
"23",23,1,18,1,0.55,0,1,23,0
"24",24,1,56,1,1.45,1,1,24,0
"25",25,1,63,1,1.3,1,1,25,0
"26",26,1,21,1,1,0,1,26,0
"27",27,1,19,1,0.7,0,1,27,0
"28",28,1,35,1,0.7,0,1,28,0
"29",29,1,60,1,0.85,0,1,29,0
"30",30,1,64,1,1.45,1,1,30,0
"31",31,1,39,1,1.3,1,1,31,0
"32",32,1,31,1,1.3,1,1,32,0
"33",33,1,35,1,0.7,0,1,33,0
"34",34,1,63,1,1.3,1,1,34,0
"35",35,1,70,1,1.15,1,1,35,0
"36",36,1,22,1,1.15,1,1,36,0
"37",37,1,50,1,0.55,0,1,37,0
"38",38,1,20,1,0.85,1,1,38,0
"39",39,1,55,1,1.3,1,1,39,0
"40",40,1,41,1,0.4,0,1,40,0
"41",41,1,69,1,1,1,1,41,0
"42",42,1,9,1,0.4,0,1,42,0
"43",43,1,23,1,1.3,1,1,43,0
"44",44,1,46,1,1.15,1,1,44,0
"45",45,1,29,1,1,1,1,45,0
"46",46,1,12,1,0.85,1,1,46,0
"47",47,1,58,1,0.55,0,1,47,0
"48",48,1,14,1,1.15,1,1,48,0
"49",49,1,49,1,0.4,0,1,49,0
"50",50,1,61,1,1,1,1,50,0
"51",51,1,6,1,1.15,1,1,51,0
"52",52,1,68,1,0.85,0,1,52,0
"53",53,1,48,1,1.45,1,1,53,0
"54",54,1,27,1,0.7,0,1,54,0
"55",55,1,48,1,1.45,1,1,55,0
"56",56,1,45,1,1,1,1,56,0
"57",57,1,12,1,0.85,0,1,57,0
"58",58,1,5,1,1,0,1,58,0
"59",59,1,4,1,0.85,0,1,59,0
"60",60,1,65,1,0.4,0,1,60,0
"61",61,1,59,1,0.7,0,1,61,0
"62",62,1,32,1,1.45,1,1,62,0
"63",63,1,44,1,0.85,0,1,63,0
"64",64,1,36,1,0.85,1,1,64,0
"65",65,1,57,1,0.4,0,1,65,0
"66",66,1,18,1,0.55,0,1,66,0
"67",67,1,55,1,1.3,1,1,67,0
"68",68,1,62,1,1.15,1,1,68,0
"69",69,1,27,1,0.7,0,1,69,0
"70",70,1,65,1,0.4,0,1,70,0
"71",71,1,39,1,1.3,1,1,71,0
"72",72,1,8,1,1.45,1,1,72,0
"73",73,1,33,1,0.4,0,1,73,0
"74",74,1,64,1,1.45,1,1,74,0
"75",75,1,72,1,1.45,1,1,75,0
"76",76,1,37,1,1,1,1,76,0
"77",77,1,7,1,1.3,1,1,77,0
"78",78,1,10,1,0.55,0,1,78,0
"79",79,1,26,1,0.55,0,1,79,0
"80",80,1,3,1,0.7,0,1,80,0
"81",81,1,69,1,1,1,1,81,0
"82",82,1,5,1,1,1,1,82,0
"83",83,1,57,1,0.4,0,1,83,0
"84",84,1,54,1,1.15,1,1,84,0
"85",85,1,17,1,0.4,0,1,85,0
"86",86,1,25,1,0.4,0,1,86,0
"87",87,1,67,1,0.7,0,1,87,0
"88",88,1,33,1,0.4,0,1,88,0
"89",89,1,34,1,0.55,0,1,89,0
"90",90,1,16,1,1.45,1,1,90,0
"91",91,1,60,1,0.85,1,1,91,0
"92",92,1,56,1,1.45,1,1,92,0
"93",93,1,51,1,0.7,0,1,93,0
"94",94,1,19,1,0.7,0,1,94,0
"95",95,1,66,1,0.55,0,1,95,0
"96",96,1,43,1,0.7,0,1,96,0
"97",97,1,61,1,1,1,1,97,0
"98",98,1,53,1,1,1,1,98,0
"99",99,1,2,1,0.55,0,1,99,0
"100",100,1,38,1,1.15,1,1,100,0
"101",101,1,13,1,1,1,1,101,0
"102",102,1,32,1,1.45,1,1,102,0
"103",103,1,66,1,0.55,0,1,103,0
"104",104,1,40,1,1.45,1,1,104,0
"105",105,1,26,1,0.55,0,1,105,0
"106",106,1,4,1,0.85,1,1,106,0
"107",107,1,67,1,0.7,0,1,107,0
"108",108,1,44,1,0.85,1,1,108,0
"109",109,1,59,1,0.7,0,1,109,0
"110",110,1,3,1,0.7,0,1,110,0
"111",111,1,36,1,0.85,1,1,111,0
"112",112,1,15,1,1.3,1,1,112,0
"113",113,1,42,1,0.55,0,1,113,0
"114",114,1,68,1,0.85,1,1,114,0
"115",115,1,62,1,1.15,1,1,115,0
"116",116,1,51,1,0.7,0,1,116,0
"117",117,1,11,1,0.7,0,1,117,0
"118",118,1,43,1,0.7,0,1,118,0
"119",119,1,1,1,0.4,0,1,119,0
"120",120,1,52,1,0.85,0,1,120,0
"121",121,1,49,1,0.4,0,1,121,0
"122",122,1,70,1,1.15,1,1,122,0
"123",123,1,2,1,0.55,0,1,123,0
"124",124,1,47,1,1.3,1,1,124,0
"125",125,1,37,1,1,1,1,125,0
"126",126,1,38,1,1.15,1,1,126,0
"127",127,1,24,1,1.45,1,1,127,0
"128",128,1,6,1,1.15,1,1,128,0
"129",129,1,28,1,0.85,1,1,129,0
"130",130,1,24,1,1.45,1,1,130,0
"131",131,1,41,1,0.4,0,1,131,0
"132",132,1,16,1,1.45,1,1,132,0
"133",133,1,50,1,0.55,0,1,133,0
"134",134,1,11,1,0.7,0,1,134,0
"135",135,1,23,1,1.3,1,1,135,0
"136",136,1,17,1,0.4,0,1,136,0
"137",137,1,53,1,1,1,1,137,0
"138",138,1,34,1,0.55,0,1,138,0
"139",139,1,54,1,1.15,1,1,139,0
"140",140,1,42,1,0.55,0,1,140,0
"141",141,1,72,1,1.45,1,1,141,0
"142",142,1,15,1,1.3,1,1,142,0
"143",143,1,30,1,1.15,1,1,143,0
"144",144,1,52,1,0.85,0,1,144,0
"145",145,1,33,2,0.7,0,1,145,1
"146",146,1,7,2,0.4,0,1,146,1
"147",147,1,24,2,0.4,0,1,147,1
"148",148,1,69,2,1.45,1,1,148,1
"149",149,1,31,2,0.55,0,1,149,1
"150",150,1,35,2,0.85,0,1,150,1
"151",151,1,35,2,0.85,0,1,151,1
"152",152,1,18,2,0.4,0,1,152,1
"153",153,1,2,2,0.4,0,1,153,1
"154",154,1,26,2,0.4,0,1,154,1
"155",155,1,71,2,1.45,1,1,155,1
"156",156,1,1,2,0.4,0,1,156,1
"157",157,1,45,2,1.45,1,1,157,1
"158",158,1,58,2,1.45,1,1,158,1
"159",159,1,37,2,1,0,1,159,1
"160",160,1,13,2,0.4,0,1,160,1
"161",161,1,17,2,0.4,0,1,161,1
"162",162,1,22,2,0.4,0,1,162,1
"163",163,1,44,2,1.45,1,1,163,1
"164",164,1,19,2,0.4,0,1,164,1
"165",165,1,65,2,1.45,1,1,165,1
"166",166,1,34,2,0.7,0,1,166,1
"167",167,1,68,2,1.45,1,1,167,1
"168",168,1,60,2,1.45,1,1,168,1
"169",169,1,53,2,1.45,1,1,169,1
"170",170,1,16,2,0.4,0,1,170,1
"171",171,1,67,2,1.45,1,1,171,1
"172",172,1,63,2,1.45,1,1,172,1
"173",173,1,50,2,1.45,1,1,173,1
"174",174,1,51,2,1.45,1,1,174,1
"175",175,1,23,2,0.4,0,1,175,1
"176",176,1,48,2,1.45,1,1,176,1
"177",177,1,46,2,1.45,1,1,177,1
"178",178,1,36,2,0.85,0,1,178,1
"179",179,1,57,2,1.45,1,1,179,1
"180",180,1,31,2,0.55,0,1,180,1
"181",181,1,16,2,0.4,0,1,181,1
"182",182,1,40,2,1.15,0,1,182,1
"183",183,1,52,2,1.45,1,1,183,1
"184",184,1,72,2,1.45,1,1,184,1
"185",185,1,20,2,0.4,0,1,185,1
"186",186,1,12,2,0.4,0,1,186,1
"187",187,1,44,2,1.45,1,1,187,1
"188",188,1,14,2,0.4,0,1,188,1
"189",189,1,28,2,0.4,0,1,189,1
"190",190,1,57,2,1.45,1,1,190,1
"191",191,1,38,2,1,1,1,191,1
"192",192,1,11,2,0.4,0,1,192,1
"193",193,1,26,2,0.4,0,1,193,1
