"","NSub","model","exp","cond","DurID","Prob","Dur"
"1",1,"Bisection Model","exp1","PS","DurProb1","0.00291612670760166","400"
"2",2,"Bisection Model","exp1","PS","DurProb1","0.00696162894906923","400"
"3",3,"Bisection Model","exp1","PS","DurProb1","0.0711976394314024","400"
"4",4,"Bisection Model","exp1","PS","DurProb1","0.0705940681745115","400"
"5",5,"Bisection Model","exp1","PS","DurProb1","0.122943281099366","400"
"6",6,"Bisection Model","exp1","PS","DurProb1","0.0219908724113739","400"
"7",7,"Bisection Model","exp1","PS","DurProb1","0.0156531084251176","400"
"8",8,"Bisection Model","exp1","PS","DurProb1","0.0177989875044568","400"
"9",9,"Bisection Model","exp1","PS","DurProb1","0.00747184723969031","400"
"10",10,"Bisection Model","exp1","PS","DurProb1","0.0229390994604496","400"
"11",11,"Bisection Model","exp1","PS","DurProb1","0.108151434052995","400"
"12",12,"Bisection Model","exp1","PS","DurProb1","0.016759775569744","400"
"13",13,"Bisection Model","exp1","PS","DurProb1","0.00219422935978647","400"
"14",14,"Bisection Model","exp1","PS","DurProb1","0.0294369220164128","400"
"15",15,"Bisection Model","exp1","PS","DurProb1","0.0033668609125577","400"
"16",1,"Bisection Model","exp1","NS","DurProb1","0.00291612670760166","400"
"17",2,"Bisection Model","exp1","NS","DurProb1","0.00696162894906923","400"
"18",3,"Bisection Model","exp1","NS","DurProb1","0.0711976394314024","400"
"19",4,"Bisection Model","exp1","NS","DurProb1","0.0705940681745115","400"
"20",5,"Bisection Model","exp1","NS","DurProb1","0.122943281099366","400"
"21",6,"Bisection Model","exp1","NS","DurProb1","0.0219908724113739","400"
"22",7,"Bisection Model","exp1","NS","DurProb1","0.0156531084251176","400"
"23",8,"Bisection Model","exp1","NS","DurProb1","0.0177989875044568","400"
"24",9,"Bisection Model","exp1","NS","DurProb1","0.00747184723969031","400"
"25",10,"Bisection Model","exp1","NS","DurProb1","0.0229390994604496","400"
"26",11,"Bisection Model","exp1","NS","DurProb1","0.108151434052995","400"
"27",12,"Bisection Model","exp1","NS","DurProb1","0.016759775569744","400"
"28",13,"Bisection Model","exp1","NS","DurProb1","0.00219422935978647","400"
"29",14,"Bisection Model","exp1","NS","DurProb1","0.0294369220164128","400"
"30",15,"Bisection Model","exp1","NS","DurProb1","0.0033668609125577","400"
"31",1,"Bisection Model","exp1","PS","DurProb2","0.00661657429863483","504"
"32",2,"Bisection Model","exp1","PS","DurProb2","0.0144240337333541","504"
"33",3,"Bisection Model","exp1","PS","DurProb2","0.121670207491636","504"
"34",4,"Bisection Model","exp1","PS","DurProb2","0.144964069422522","504"
"35",5,"Bisection Model","exp1","PS","DurProb2","0.213904907941977","504"
"36",6,"Bisection Model","exp1","PS","DurProb2","0.0431774954010073","504"
"37",7,"Bisection Model","exp1","PS","DurProb2","0.0339456773695687","504"
"38",8,"Bisection Model","exp1","PS","DurProb2","0.0377943153976241","504"
"39",9,"Bisection Model","exp1","PS","DurProb2","0.0205718213113879","504"
"40",10,"Bisection Model","exp1","PS","DurProb2","0.056308280772826","504"
"41",11,"Bisection Model","exp1","PS","DurProb2","0.248329079424237","504"
"42",12,"Bisection Model","exp1","PS","DurProb2","0.0501553351595307","504"
"43",13,"Bisection Model","exp1","PS","DurProb2","0.00659049251009826","504"
"44",14,"Bisection Model","exp1","PS","DurProb2","0.0697507591735087","504"
"45",15,"Bisection Model","exp1","PS","DurProb2","0.00851364731129168","504"
"46",1,"Bisection Model","exp1","NS","DurProb2","0.038308922063628","730"
"47",2,"Bisection Model","exp1","NS","DurProb2","0.0675535878963597","730"
"48",3,"Bisection Model","exp1","NS","DurProb2","0.333846951908134","730"
"49",4,"Bisection Model","exp1","NS","DurProb2","0.492549785863657","730"
"50",5,"Bisection Model","exp1","NS","DurProb2","0.534908314148199","730"
"51",6,"Bisection Model","exp1","NS","DurProb2","0.170152307398","730"
"52",7,"Bisection Model","exp1","NS","DurProb2","0.164443098393433","730"
"53",8,"Bisection Model","exp1","NS","DurProb2","0.174219919566814","730"
"54",9,"Bisection Model","exp1","NS","DurProb2","0.163375332351468","730"
"55",10,"Bisection Model","exp1","NS","DurProb2","0.311734164578994","730"
"56",11,"Bisection Model","exp1","NS","DurProb2","0.74466491149583","730"
"57",12,"Bisection Model","exp1","NS","DurProb2","0.381289296195604","730"
"58",13,"Bisection Model","exp1","NS","DurProb2","0.0681173192301711","730"
"59",14,"Bisection Model","exp1","NS","DurProb2","0.348947891167242","730"
"60",15,"Bisection Model","exp1","NS","DurProb2","0.0612064721539819","730"
"61",1,"Bisection Model","exp1","PS","DurProb3","0.0185800561400226","636"
"62",2,"Bisection Model","exp1","PS","DurProb3","0.0359108510942728","636"
"63",3,"Bisection Model","exp1","PS","DurProb3","0.22694049734991","636"
"64",4,"Bisection Model","exp1","PS","DurProb3","0.319615577762528","636"
"65",5,"Bisection Model","exp1","PS","DurProb3","0.387065898390934","636"
"66",6,"Bisection Model","exp1","PS","DurProb3","0.09848600043704","636"
"67",7,"Bisection Model","exp1","PS","DurProb3","0.08769187464668","636"
"68",8,"Bisection Model","exp1","PS","DurProb3","0.0949008526997892","636"
"69",9,"Bisection Model","exp1","PS","DurProb3","0.0717088298191455","636"
"70",10,"Bisection Model","exp1","PS","DurProb3","0.163134925963784","636"
"71",11,"Bisection Model","exp1","PS","DurProb3","0.541033700350128","636"
"72",12,"Bisection Model","exp1","PS","DurProb3","0.181523936565873","636"
"73",13,"Bisection Model","exp1","PS","DurProb3","0.0262365747279384","636"
"74",14,"Bisection Model","exp1","PS","DurProb3","0.191275979949784","636"
"75",15,"Bisection Model","exp1","PS","DurProb3","0.0272914500540627","636"
"76",1,"Bisection Model","exp1","NS","DurProb3","0.240565148332167","992"
"77",2,"Bisection Model","exp1","NS","DurProb3","0.316333628652061","992"
"78",3,"Bisection Model","exp1","NS","DurProb3","0.689945269018806","992"
"79",4,"Bisection Model","exp1","NS","DurProb3","0.880059410034576","992"
"80",5,"Bisection Model","exp1","NS","DurProb3","0.85946728533817","992"
"81",6,"Bisection Model","exp1","NS","DurProb3","0.54247994722722","992"
"82",7,"Bisection Model","exp1","NS","DurProb3","0.591903278911308","992"
"83",8,"Bisection Model","exp1","NS","DurProb3","0.596963475794088","992"
"84",9,"Bisection Model","exp1","NS","DurProb3","0.721431379137626","992"
"85",10,"Bisection Model","exp1","NS","DurProb3","0.826035081534895","992"
"86",11,"Bisection Model","exp1","NS","DurProb3","0.973277967965265","992"
"87",12,"Bisection Model","exp1","NS","DurProb3","0.914072838407998","992"
"88",13,"Bisection Model","exp1","NS","DurProb3","0.541353211993588","992"
"89",14,"Bisection Model","exp1","NS","DurProb3","0.839766905611191","992"
"90",15,"Bisection Model","exp1","NS","DurProb3","0.406070227679501","992"
"91",1,"Bisection Model","exp1","PS","DurProb4","0.0648250545228621","800"
"92",2,"Bisection Model","exp1","PS","DurProb4","0.106263533923886","800"
"93",3,"Bisection Model","exp1","PS","DurProb4","0.427377717636653","800"
"94",4,"Bisection Model","exp1","PS","DurProb4","0.624956165669357","800"
"95",5,"Bisection Model","exp1","PS","DurProb4","0.64251902731043","800"
"96",6,"Bisection Model","exp1","PS","DurProb4","0.246812080606755","800"
"97",7,"Bisection Model","exp1","PS","DurProb4","0.251263561349701","800"
"98",8,"Bisection Model","exp1","PS","DurProb4","0.262052473557906","800"
"99",9,"Bisection Model","exp1","PS","DurProb4","0.280354534081066","800"
